,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150
TFSocketAgent1 Average,25,18.8,55.9,39.1,30.5,21.8,39.5,57.9,41.8,39.2,34.1,33.3,27.5,62.3,36.7,39.1,21.8,35.8,26.9,23.9,27.2,25.2,25.1,18.5,21.3,12.7,20.2,57,8,33.5,28.3,10.2,14.3,21.6,17.4,29.6,32.1,35.2,16,14,11.8,16.4,16.6,11.2,23.8,19.5,12.6,31.3,22.5,20.2,18.7,16,14.7,17.9,11.2,16.1,13.8,19.2,18.8,15.9,15.1,17.4,25.5,9.9,15.5,16.7,16.8,33.6,12.9,14.1,18.4,10,23,14.8,22.6,13,12.4,14.5,20,15.2,41.9,38.2,10.7,15.7,13.3,12.6,15.7,11.9,6.2,23.6,12,19.3,11,43.5,29.9,14.3,25.9,15.5,6.9,26.2,14.3,21.6,23.1,17.3,11.1,40.9,12.8,14.4,14.9,44.2,13.7,8.3,17,13.4,16.6,10.9,8.2,7.2,16.2,33,11,17.7,17.2,14.1,42.2,15.3,13.8,25.2,13.3,14.3,11.6,10.1,11.8,13.9,11.8,11.2,19.5,11,18,13.2,8.4,15.3,7.4,13.6,15.6,26.1,12.7,10.7,11.5,17.9
TFSocketAgent1 Smoothed,,,,32.94285714,37.64285714,40.92857143,38.54285714,37.82857143,38.22857143,39.04285714,42.3,39.27142857,38.88571429,36.4,36.64285714,35.72857143,35.21428571,30.2,28.55714286,26.55714286,26.08571429,24.01428571,21.98571429,21.45714286,25.71428571,23.25714286,24.45714286,25.85714286,24.27142857,24.5,24.7,19.04285714,22.12857143,21.92857143,22.91428571,23.74285714,23.7,22.3,22.15714286,20.3,17.31428571,15.68571429,16.18571429,15.98571429,18.77142857,19.64285714,20.15714286,21.22857143,20.11428571,19.42857143,20.18571429,17.31428571,16.4,15.48571429,15.55714286,15.95714286,16.12857143,15.72857143,16.61428571,17.95714286,17.4,16.87142857,16.57142857,16.7,19.34285714,18.7,17.07142857,18.28571429,17.5,18.4,18.11428571,16.54285714,16.55714286,16.31428571,15.75714286,17.18571429,16.07142857,19.94285714,22.17142857,21.84285714,22.31428571,22.14285714,21.08571429,21.15714286,16.87142857,12.3,14.14285714,13.61428571,14.47142857,14.24285714,18.21428571,20.78571429,21.94285714,22.27142857,22.77142857,21,23.17142857,19,17.81428571,19.07142857,17.84285714,17.21428571,22.07142857,20.15714286,20.17142857,19.21428571,22.22857143,21.71428571,21.31428571,17.9,17.98571429,18.3,17.72857143,12.58571429,11.65714286,12.78571429,15.07142857,14.72857143,14.88571429,15.78571429,16.62857143,21.62857143,21.5,18.75714286,20.78571429,20.15714286,19.74285714,19.38571429,14.8,14.3,14.31428571,12.4,12.1,12.84285714,12.75714286,13.88571429,14.08571429,13.3,13.8,13.25714286,12.41428571,13.07142857,14.22857143,14.15714286,14.48571429,13.94285714,15.44285714,,,
Optimal,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44
Threshold=10 Avg Opt.,,,,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,2.278947368,,,
Benchmark,,,,70.9428571,69.8285714,64.8428571,61.9571429,61.1428571,52.5571429,52.5571429,54.2285714,61.6857143,60.1428571,57.0714286,55.7571429,55.8,57.9571429,56.4,53.2571429,55.7571429,58.6142857,60.7285714,62.5285714,53.2142857,54.3571429,57.0857143,56.6,52.7714286,48.5,46.3714286,45.7142857,50.5285714,45.1857143,48.8571429,48.5571429,50.7285714,49.8571429,50.9142857,52.9,50.4285714,45.3571429,48.5142857,52.2,54.6714286,60.2,59.7857143,64.1571429,62.7428571,66.0285714,62.3285714,59.1428571,53.0285714,52.7142857,55.0857143,59.9,61,65,64.1142857,63.2285714,58.1285714,52.2142857,52.3142857,46.7714286,42.7571429,47.9285714,50.0285714,52.1714286,51.5,45.1571429,43.7285714,44.6285714,40,43.6571429,41.0571429,47.6142857,51.6714286,60.4428571,62.4857143,66.0285714,61.0428571,59.5571429,56.8571429,56.2285714,46.9571429,49.5714286,49.2714286,49.9857143,56.9142857,57.2857143,60.9285714,61.3142857,59.2571429,55.3571429,60.5142857,52.4714286,51.9285714,47.9,45.9857143,40.5285714,41.3,33.5714286,32.2285714,30.0571429,31.2142857,33.8857143,33.1714286,31.8428571,33.0428571,35.3142857,34.0714286,30.2142857,28.1714286,27.7,25.6,24.2428571,21.7142857,20.0428571,18.9428571,20.3142857,19.9571429,19.8428571,20.5857143,22.4,23.5571429,24.8428571,21.6571429,21.6285714,21.9,20.1571429,19.9142857,19.3571429,18.2142857,20.4714286,20.9571429,20.9,22.4,21.0714286,21,20.2428571,19.7571429,19.0714286,19.6714286,20.0285714,22.8142857,21.5,22.3857143,21.4571429,,,
Threshold=10 VS Benchmark (5/20 run),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Random: ,,37.87959184,Benchmark Random:,,55.093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Models: ,,19.49895725,Benchmark Models:,,23.616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Models / Random: ,,0.514761546,Benchmark Mod/Ran:,,0.428656998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minutes: ,,449.2129333,Benchmark Minutes:,,277.6015167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
