,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150
TFSocketAgent1 Average,24.9,17.3,18.2,10.7,13.3,8.7,17.3,11.6,25.4,22.4,13.7,12.5,14,16,30.3,10.3,13.1,9.1,16.2,10.5,9.7,14,25.8,15.5,13.1,15.5,13.2,18.4,11.6,19.3,13.1,13.8,8.9,15.7,8.8,18.7,11.6,13.6,13.6,15.6,13.1,7.4,15.3,11.6,12.2,16.6,16.5,7,11.8,10.5,5.4,10.7,14.5,13.3,7.9,14.9,21.9,28.3,18.8,8.2,7,18.5,15,10.4,12.1,14,17.4,8.4,11.1,9.4,8.8,18.2,6.1,26.9,17.8,14.3,18.6,8.4,15.1,5.4,18.4,11.5,21.1,11,10.3,11.9,12.4,12.5,9.2,6.1,14.4,7.7,15.7,7.7,12.8,13.7,12.2,10.1,19.2,10.7,9,16.4,20.7,18.9,15.7,5.7,12.8,13.7,11.5,11.8,8.4,8.5,11.6,5.5,12,15.7,9.8,13.1,11.9,9.9,17.5,20.2,13.4,15.3,11.1,9.6,11.1,24.6,10.5,6.4,16.7,15.5,13.5,16.8,16.8,7.1,6.7,12,16.8,13.4,10.8,21.6,4.4,15.6,12.1,8.6,14.7,10.3,20,10.6
TFSocketAgent1 Smoothed,,,,15.77142857,13.87142857,15.02857143,15.62857143,16.05714286,15.94285714,16.7,16.51428571,19.18571429,17.02857143,15.7,15.04285714,15.57142857,15.07142857,14.17142857,11.84285714,14.05714286,14.4,14.97142857,14.87142857,15.25714286,16.5,16.15714286,15.22857143,14.88571429,14.98571429,14.04285714,14.4,13.02857143,14.04285714,12.94285714,13.01428571,12.98571429,13.94285714,13.57142857,13.37142857,12.88571429,12.88571429,12.68571429,13.11428571,13.24285714,12.37142857,13,12.31428571,11.42857143,11.21428571,10.91428571,10.45714286,10.58571429,11.02857143,12.65714286,15.92857143,17.08571429,16.18571429,15.28571429,16.8,16.81428571,15.17142857,12.85714286,12.17142857,13.48571429,13.68571429,12.62857143,11.82857143,11.6,12.47142857,11.34285714,12.7,14.04285714,14.5,15.81428571,15.75714286,15.31428571,15.21428571,14,13.1,14.07142857,12.98571429,13.25714286,12.8,13.8,12.95714286,12.62857143,10.48571429,10.97142857,10.6,11.14285714,10.47142857,10.51428571,11.15714286,12.02857143,11.41428571,13.05714286,12.34285714,12.52857143,13.04285714,14.04285714,15,15.8,13.87142857,14.17142857,14.84285714,14.14285714,12.87142857,11.37142857,10.34285714,11.18571429,10.14285714,9.9,10.5,10.21428571,10.88571429,11.37142857,11.12857143,12.84285714,14.01428571,13.68571429,14.47142857,14.18571429,13.85714286,14.02857143,15.04285714,13.65714286,12.65714286,12.85714286,13.48571429,14.04285714,14.85714286,13.74285714,13.25714286,13.3,12.62857143,12.81428571,12.8,11.94285714,12.62857143,12.24285714,13.51428571,13.52857143,12.35714286,12.54285714,12.47142857,12.24285714,13.12857143,,,
Optimal,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44
Threshold=10 Avg. Opt.,,,,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,3.211111111,,,
Benchmark,,,,18.11428571,17.84285714,18.04285714,15.62857143,16.08571429,16.07142857,17.5,18.67142857,19.21428571,19.77142857,20.35714286,21.28571429,23.28571429,22.88571429,22.38571429,22.14285714,22.08571429,21.5,20.62857143,18.28571429,19.55714286,18.14285714,17.07142857,15.21428571,15.61428571,16.6,17.85714286,17.15714286,16.38571429,16.62857143,17.51428571,20.08571429,20.34285714,19.61428571,18.6,20.52857143,21.3,22.3,20.2,19.41428571,19.28571429,20.24285714,20.68571429,20.94285714,20.82857143,20.77142857,20.94285714,19.58571429,18.78571429,17.7,15.9,14.61428571,13.64285714,12.37142857,12.28571429,13.37142857,14.41428571,15.2,15.15714286,18.3,18.51428571,19.37142857,17.28571429,16.24285714,15.7,16.47142857,15.08571429,17.51428571,18.1,18.62857143,19.15714286,19.87142857,20.44285714,19.9,19.5,20.3,20.95714286,20.8,20.47142857,18.07142857,19.3,18.8,17.5,16.85714286,14.98571429,15.05714286,16.14285714,14.91428571,15.37142857,14.64285714,15.68571429,17.08571429,17.01428571,18.48571429,16.77142857,15,14.38571429,13.02857143,12.92857143,12.3,10.82857143,10.9,11.21428571,12.77142857,12.91428571,12.37142857,12.65714286,11.57142857,12.37142857,11.62857143,11.37142857,10.85714286,10.21428571,10.32857143,11.71428571,10.98571429,11.31428571,11.14285714,12.44285714,12.85714286,12.52857143,11.92857143,12.31428571,12.08571429,11.6,11.64285714,11.15714286,13,12.62857143,13.41428571,13.21428571,13.78571429,12.37142857,13.74285714,11.95714286,11.58571429,10.71428571,10.51428571,9.657142857,9.728571429,9.071428571,8.842857143,10.84285714,10.54285714,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Threshold=10 VS Benchmark (2/10 run),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Random: ,,15.57142857,Benchmark Random:,,18.255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Models: ,,13.33013556,Benchmark Models:,,11.522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
